hanji,lomaji
一蕊花,tsi̍t luí hue
紅嬰仔哭甲一身軀汗。,Âng-enn-á khàu kah tsi̍t sin-khu kuānn. 
一睏仔,tsi̍t-khùn-á
一絲仔,tsi̍t-si-á
一流,it-liû
𪜶兩个生做一模一樣。,In nn̄g ê senn-tsò it-bôo-it-iūnn. 
一生,it-sing
一向,it hiòng
𪜶兩个兄弟仔為著拚生理，就按呢一刀兩斷無來去。,"In nn̄g ê hiann-tī-á uī-tio̍h piànn sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì. "
小等一下。,Sió-tán--tsi̍t-ē. 
老母一下死，囡仔就大聲吼。,"Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu. "
氣一下袂講話。,Khì tsi̍t-ē bē kóng-uē. 
你一月日趁偌濟錢？,Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn? 
你毋好一日到暗拋拋走。,Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu. 
你彩券若著頭獎，咱就一世人食穿免煩惱矣。,"Lí tshái-kuàn nā tio̍h thâu tsióng, lán tō tsi̍t-sì-lâng tsia̍h-tshīng bián huân-ló--ah. "
買水果的錢，一人愛出一半。,"Bé tsuí-kó ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn. "
塗跤一半擺仔無拭，袂偌垃圾啦！,"Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah! "
今仔日來上班的人才一半个仔爾爾。,Kin-á-ji̍t lâi siōng-pan ê lâng tsiah tsi̍t-puànn-ê-á niā-niā. 
頭家人真好，我一半日仔無去，伊嘛袂按怎。,"Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn. "
物件毋通掖甲一四界。,Mi̍h-kiānn m̄-thang iā kah tsi̍t-sì-kè. 
一旦地動，彼間厝就會倒。,"It-tàn tē-tāng, hit king tshù tō ē tó. "
毀於一旦,huí î it-tàn
做教授是我一生的願望。,Tsò kàu-siū sī guá it-sing ê guān-bōng. 
你毋通放蕩過一生。,Lí m̄-thang hòng-tōng kuè it-sing. 
對厝到公司，行路一目𥍉仔就到矣。,"Tuì tshù kàu kong-si, kiânn-lōo tsi̍t-ba̍k-nih-á tō kàu--ah. "
伊講過的話，一定會記得。,"I kóng--kuè ê uē, it-tīng ē-kì--tit. "
咱愛有一定的頭路，生活才袂傷艱苦。,"Lán ài ū it-tīng ê thâu-lōo, sing-ua̍h tsiah bē siunn kan-khóo. "
一直向前行，毋免轉斡。,"It-ti̍t hiòng tsîng kiânn, m̄-bián tńg-uat. "
阿美一直咧掃塗跤，攏無歇睏。,"A bí it-ti̍t teh sàu thôo-kha, lóng bô hioh-khùn. "
伊對伊的學生一律攏真嚴格。,I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh. 
伊佮我的看法並無一致。,I kah guá ê khuànn-huat pīng bô it-tì. 
伊一面做工，一面讀冊。,"I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh. "
一面抹壁雙面光。,Tsi̍t-bīn buah-piah siang-bīn kng. 
毋通逐工鬱佇遐若一垺屎。,M̄-thang ta̍k kang ut tī hia ná tsi̍t-pû-sái. 
伊食一屑仔飯爾爾。,I tsia̍h tsi̍t-sut-á pn̄g niā-niā. 
一般人攏真愛面子。,It-puann lâng lóng tsin ài bīn-tsú. 
這擺欲替伊開刀的醫生攏是一粒一的。,Tsit pái beh thè i khui-to ê i-sing lóng-sī it-lia̍p-it--ê. 
阿英佮我是一粒一的。,A-ing kah guá sī it-lia̍p-it--ê. 
伊跤手真緊，穡頭一睏仔就做了矣。,"I kha-tshiú tsin kín, sit-thâu tsi̍t-khùn-á tō tsò liáu--ah. "
遮的物件伊做一睏仔共伊食了。,Tsia-ê mi̍h-kiānn i tsò tsi̍t-khùn-á kā i tsia̍h-liáu. 
所有的公民一概攏愛盡義務。,Sóo-ū ê kong-bîn it-khài lóng ài tsīn gī-bū. 
祝恁一路平安。,Tsiok lín tsi̍t-lōo pîng-an. 
加減食一寡。,Ke-kiám tsia̍h--tsi̍t-kuá. 
一寡仔物件攏無整理。,Tsi̍t-kuá-á mi̍h-kiānn lóng bô tsíng-lí. 
過一對時，才會行氣。,"Kuè tsi̍t-tuì-sî, tsiah ē kiânn-khì. "
伊來一霎仔久就轉去矣。,I lâi tsi̍t-tiap-á-kú tō tńg--khì--ah. 
你才食一點仔物件哪會飽？,Lí tsiah tsia̍h tsi̍t-tiám-á mi̍h-kiānn ná ē pá? 
甲乙丙丁,kah it piánn ting
乙等,it tíng
甲乙丙丁,kah it piánn ting
出丁,tshut-ting
七个人,tshit ê lâng
七老八老,tshit-lāu-peh-lāu
七除八扣,tshit-tû-peh-khàu
十喙九尻川。,Tsa̍p tshuì káu kha-tshng. 
一言九鼎,it giân kiú tíng
飯食了才食果子。,Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí. 
了解,liáu-kái
了力,liáu la̍t
了工,liáu-kang
了錢生理無人做。,Liáu-tsînn sing-lí bô lâng tsò. 
講了真清楚。,Kóng liáu tsin tshing-tshó. 
洗了無清氣。,Sé liáu bô tshing-khì. 
第二,tē-jī
人類,jîn-luī
人情,jîn-tsîng
人事,jîn-sū
聖人,sìng-jîn
軍人,kun-jîn
做牛著拖，做人著磨。,"Tsò gû tio̍h thua, tsò-lâng tio̍h buâ. "
莫共人講！,Mài kā lâng kóng! 
予人看無,hōo lâng khuànn-bô
