"hanji","lomaji"
"假","ká"
"假","kà"
"假","ké"
"假","kè"
"真","tsin"
"一","it"
"一","tsi̍t"
"一人一家代，公媽隨人祀。","Tsi̍t lâng tsi̍t ke tāi, kong-má suî-lâng tshāi."
"一人看出一家，新婦看出大家。","Tsi̍t lâng khuànn-tshut tsi̍t ke, sin-pū khuànn-tshut ta-ke."
"一人煩惱一樣，無人煩惱親像。","Tsi̍t lâng huân-ló tsi̍t iūnn, bô lâng huân-ló tshin-tshiūnn."
"一刀兩斷","it-to-lióng-tuān"
"一丈差九尺。","Tsi̍t tn̄g tsha káu tshioh."
"一下","tsi̍t-ē"
"一下仔","tsi̍t-ē-á"
"一个人一款命。","Tsi̍t ê lâng tsi̍t khuán miā."
"一个囡仔較鬧熱三个大人。","Tsi̍t ê gín-á khah lāu-jia̍t sann ê tuā-lâng."
"一个某較好三个天公祖。","Tsi̍t ê bóo khah hó sann ê Thinn-kong-tsóo."
"一个錢拍二十四个結。","Tsi̍t ê tsînn phah jī-tsa̍p-sì ê kat."
"一千賒毋值八百現。","Tsi̍t-tshing sia m̄-ta̍t peh-pah hiān."
"一口灶","tsi̍t kháu tsàu"
"一大片","tsi̍t-tuā-phìnn"
"一大拖","tsi̍t-tuā-thua"
"一大堆","tsi̍t-tuā-tui"
"一分錢，一分貨。","Tsi̍t hun tsînn, tsi̍t hun huè."
"一心","it-sim"
"一心一意","it-sim-it-ì"
"一斗較贏九石。","Tsi̍t táu khah iânn káu tsio̍h."
"一日","tsi̍t-ji̍t"
"一日","tsi̍t-li̍t"
"一日走拋拋，一暝點燈膋。","Tsi̍t ji̍t tsáu-pha-pha, tsi̍t mê tiám ting-lâ."
"一日到暗","tsi̍t-ji̍t-kàu-àm"
"一日到暗","tsi̍t-li̍t-kàu-àm"
"一日剃頭，三日緣投。","Tsi̍t ji̍t thì-thâu, sann ji̍t iân-tâu."
"一日討海，三日曝網。","Tsi̍t ji̍t thó-hái, sann ji̍t pha̍k bāng."
"一日徙栽，三日徛黃。","Tsi̍t ji̍t suá-tsai, sann ji̍t khiā-n̂g."
"一月日","tsi̍t ge̍h-li̍t"
"一月日","tsi̍t gue̍h-ji̍t"
"一片","it-phiàn"
"一切","it-tshè"
"一世人","tsi̍t-sì-lâng"
"一代親，二代表，三代毋捌了了。","It tāi tshin, jī tāi piáu, sann tāi m̄ bat liáu-liáu."
"一半","tsi̍t-puànn"
"一半个仔","tsi̍t-puànn-ê-á"
"一半日仔","tsi̍t-puànn-ji̍t-á"
"一半日仔","tsi̍t-puànn-li̍t-á"
"一四界","tsi̍t-sì-kè"
"一四界","tsi̍t-sì-kuè"
"一必一中","it-pit-it-tiòng"
"一旦","it-tàn"
"一生","it-sing"
"一甲子","tsi̍t kah-tsí"
"一目𥍉","tsi̍t-ba̍k-nih"
"一目𥍉仔","tsi̍t-ba̍k-nih-á"
"一句話三角六尖。","Tsi̍t kù uē sann kak la̍k tsiam."
"一再","it-tsài"
"一向","it-hiòng"
"一百空一","tsi̍t-pah khòng-it"
"一耳空入，一耳空出。","Tsi̍t hīnn-khang ji̍p, tsi̍t hīnn-khang tshut."
"一年換二十四个頭家。","Tsi̍t nî uānn jī-tsa̍p-sì ê thâu-ke."
"一步棋，一步著。","Tsi̍t pōo kî, tsi̍t pōo tio̍h."
"一疕仔","tsi̍t-phí-á"
"一夜情","tsi̍t-iā-tsîng"
"一定","it-tīng"
"一枝草，一點露。","Tsi̍t ki tsháu, tsi̍t tiám lōo."
"一直","it-ti̍t"
"一來","it--lâi"
"一某無人知，兩某相卸代。","Tsi̍t bóo bô lâng tsai, nn̄g bóo sio-sià-tāi."
"一面","tsi̍t-bīn"
"一面抹壁雙面光。","Tsi̍t bīn buah-piah siang bīn kng."
"一律","it-lu̍t"
"一個月","tsi̍t kò ge̍h"
"一個月","tsi̍t kò gue̍h"
"一兼二顧，摸蜊仔兼洗褲。","It kiam jī kòo, bong lâ-á kiam sé khòo."
"一垺屎","tsi̍t-pû-sái"
"一家伙仔","tsi̍t-ke-hé-á"
"一家伙仔","tsi̍t-ke-hué-á"
"一屑仔","tsi̍t-sut-á"
"一時","tsi̍t-sî"
"一時仔","tsi̍t-sî-á"
"一致","it-tì"
"一般","it-puann"
"一隻牛剝雙領皮。","Tsi̍t tsiah gû pak siang niá phuê."
"一隻蝨母嗙甲水牛大。","Tsi̍t tsiah sat-bó pòng kah tsuí-gû tuā."
"一連串","it-liân-tshuàn"
"一流","it-liû"
"一晡","tsi̍t-poo"
"一貫","it-kuàn"
"一鄉一俗。","Tsi̍t hiong tsi̍t sio̍k."
"一粒一","it-lia̍p-it"
"一粒田螺煮九碗公湯。","Tsi̍t lia̍p tshân-lê tsú káu uánn-kong thng."
"一粒米，百粒汗。","Tsi̍t lia̍p bí, pah lia̍p kuānn."
"一喙掛雙舌。","Tsi̍t tshuì kuà siang tsi̍h."
"一睏仔","tsi̍t-khùn-á"
"一絲仔","tsi̍t-si-á"
"一遍賊，百世賊。","Tsi̍t piàn tsha̍t, pah sì tsha̍t."
"一概","it-khài"
"一路","tsi̍t-lōo"
"一寡","tsi̍t-kuá"
"一寡仔","tsi̍t-kuá-á"
"一對時","tsi̍t tuì-sî"
"一暝全頭路，天光無半步。","Tsi̍t mê tsuân thâu-lōo, thinn-kng bô-puànn-pōo."
"一模一樣","it-bôo-it-iūnn"
"一樣米飼百樣人。","Tsi̍t iūnn bí tshī pah iūnn lâng."
